product_code,normalization_status,normalization_confidence,source_page,source_table,source_rows,source_columns,applications,continuation_product_type,footnote_marker,footnote_text,frequency,ip_rating,poles,product_type,rated_current,rated_voltage,reference_h,source_column_path,wiring_type
GW 62 709 H,accepted,0.97,2,1,21,2,Use with high frequencies,Straight connectors,,,> 300 ÷ 500 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,> 50 V,2,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 743 H,accepted,0.97,2,1,21,4,Use with high frequencies,Straight connectors,,,> 300 ÷ 500 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,> 50 V,2,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 809 H,accepted,0.97,2,1,21,6,Use with high frequencies,10° flush-mounting,,,> 300 ÷ 500 Hz,,3P+N+E,Straight plugs,16 A,> 50 V,2,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 843 H,accepted,0.98,2,1,21,8,Use with high frequencies,10° flush-mounting,,,> 300 ÷ 500 Hz,,3P+N+E,Straight plugs,16 A,> 50 V,2,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 710 H,accepted,0.98,2,1,22,2,"Marine, port and naval, installations",Straight connectors,,,60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,440 ÷ 460 V,11,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 744 H,accepted,0.98,2,1,22,4,"Marine, port and naval, installations",Straight connectors,,,60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,440 ÷ 460 V,11,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 810 H,accepted,0.98,2,1,22,6,"Marine, port and naval, installations",10° flush-mounting,,,60 Hz,,3P+E,Straight plugs,16 A,440 ÷ 460 V,11,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 844 H,accepted,0.99,2,1,22,8,"Marine, port and naval, installations",10° flush-mounting,,,60 Hz,,3P+E,Straight plugs,16 A,440 ÷ 460 V,11,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 711 H,accepted,0.97,2,1,23,2,"Marine, port and naval, installations",Straight connectors,,,60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,440 ÷ 460 V,11,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 745 H,accepted,0.97,2,1,23,4,"Marine, port and naval, installations",Straight connectors,,,60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,440 ÷ 460 V,11,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 811 H,accepted,0.97,2,1,23,6,"Marine, port and naval, installations",10° flush-mounting,,,60 Hz,,3P+N+E,Straight plugs,16 A,440 ÷ 460 V,11,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 845 H,accepted,0.98,2,1,23,8,"Marine, port and naval, installations",10° flush-mounting,,,60 Hz,,3P+N+E,Straight plugs,16 A,440 ÷ 460 V,11,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 712 H,accepted,0.98,2,1,24,2,Refrigeretion containers,Straight connectors,,,50 Hz / 60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,380 V / 440 V,3,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 746 H,accepted,0.98,2,1,24,4,Refrigeretion containers,Straight connectors,,,50 Hz / 60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,380 V / 440 V,3,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 812 H,accepted,0.98,2,1,24,6,Refrigeretion containers,10° flush-mounting,,,50 Hz / 60 Hz,,3P+E,Straight plugs,16 A,380 V / 440 V,3,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 846 H,accepted,0.99,2,1,24,8,Refrigeretion containers,10° flush-mounting,,,50 Hz / 60 Hz,,3P+E,Straight plugs,16 A,380 V / 440 V,3,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 713 H,accepted,0.97,2,1,25,2,Refrigeretion containers,Straight connectors,,,50 Hz / 60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,380 V / 440 V,3,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 747 H,accepted,0.97,2,1,25,4,Refrigeretion containers,Straight connectors,,,50 Hz / 60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,380 V / 440 V,3,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 813 H,accepted,0.97,2,1,25,6,Refrigeretion containers,10° flush-mounting,,,50 Hz / 60 Hz,,3P+N+E,Straight plugs,16 A,380 V / 440 V,3,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 847 H,accepted,0.98,2,1,25,8,Refrigeretion containers,10° flush-mounting,,,50 Hz / 60 Hz,,3P+N+E,Straight plugs,16 A,380 V / 440 V,3,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 714 H,accepted,0.98,2,1,26,2,Isolation transformers,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,transf.,12,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 748 H,accepted,0.98,2,1,26,4,Isolation transformers,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,transf.,12,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 814 H,accepted,0.98,2,1,26,6,Isolation transformers,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,transf.,12,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 848 H,accepted,0.99,2,1,26,8,Isolation transformers,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,transf.,12,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 715 H,accepted,0.97,2,1,27,2,Isolation transformers,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,transf.,12,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 749 H,accepted,0.97,2,1,27,4,Isolation transformers,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,transf.,12,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 815 H,accepted,0.97,2,1,27,6,Isolation transformers,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,transf.,12,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 849 H,accepted,0.98,2,1,27,8,Isolation transformers,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,transf.,12,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 716 H,accepted,0.98,2,1,28,2,Use in direct current,Straight connectors,,,dc,IP44/IP54,2P+E,Straight plugs,16 A,> 50 ÷ 250V,3,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 750 H,accepted,0.98,2,1,28,4,Use in direct current,Straight connectors,,,dc,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,> 50 ÷ 250V,3,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 816 H,accepted,0.98,2,1,28,6,Use in direct current,10° flush-mounting,,,dc,,2P+E,Straight plugs,16 A,> 50 ÷ 250V,3,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 850 H,accepted,0.99,2,1,28,8,Use in direct current,10° flush-mounting,,,dc,,2P+E,Straight plugs,16 A,> 50 ÷ 250V,3,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 717 H,accepted,0.97,2,1,29,2,Use in direct current,Straight connectors,,,dc,IP44/IP54,2P+E,Straight plugs,16 A,> 250V,8,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 751 H,accepted,0.97,2,1,29,4,Use in direct current,Straight connectors,,,dc,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,> 250V,8,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 817 H,accepted,0.97,2,1,29,6,Use in direct current,10° flush-mounting,,,dc,,2P+E,Straight plugs,16 A,> 250V,8,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 851 H,accepted,0.98,2,1,29,8,Use in direct current,10° flush-mounting,,,dc,,2P+E,Straight plugs,16 A,> 250V,8,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 012 FH,accepted,0.98,2,1,30,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 012 H,accepted,0.98,2,1,30,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 034 FH,accepted,0.98,2,1,30,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 034 H,accepted,0.98,2,1,30,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 213 FH,accepted,0.98,2,1,30,5,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 213 H,accepted,0.98,2,1,30,6,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 235 FH,accepted,0.98,2,1,30,7,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 235 H,accepted,0.99,2,1,30,8,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 013 FH,accepted,0.97,2,1,31,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 013 H,accepted,0.97,2,1,31,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 035 FH,accepted,0.97,2,1,31,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 035 H,accepted,0.97,2,1,31,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 214 FH,accepted,0.97,2,1,31,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 214 H,accepted,0.97,2,1,31,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 236 FH,accepted,0.97,2,1,31,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 236 H,accepted,0.98,2,1,31,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 014 FH,accepted,0.97,2,1,32,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 014 H,accepted,0.97,2,1,32,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 036 FH,accepted,0.97,2,1,32,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 036 H,accepted,0.97,2,1,32,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 215 FH,accepted,0.97,2,1,32,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 215 H,accepted,0.97,2,1,32,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 237 FH,accepted,0.97,2,1,32,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 237 H,accepted,0.98,2,1,32,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 015 FH,accepted,0.97,2,1,33,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 015 H,accepted,0.97,2,1,33,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 037 FH,accepted,0.97,2,1,33,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 037 H,accepted,0.97,2,1,33,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 216 FH,accepted,0.97,2,1,33,5,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 216 H,accepted,0.97,2,1,33,6,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 238 FH,accepted,0.97,2,1,33,7,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 238 H,accepted,0.98,2,1,33,8,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 016 FH,accepted,0.97,2,1,34,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 016 H,accepted,0.97,2,1,34,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 038 FH,accepted,0.97,2,1,34,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 038 H,accepted,0.97,2,1,34,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 217 FH,accepted,0.97,2,1,34,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 217 H,accepted,0.97,2,1,34,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 239 FH,accepted,0.97,2,1,34,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 239 H,accepted,0.98,2,1,34,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 017 FH,accepted,0.97,2,1,35,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 017 H,accepted,0.97,2,1,35,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 039 FH,accepted,0.97,2,1,35,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 039 H,accepted,0.97,2,1,35,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 218 FH,accepted,0.97,2,1,35,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 218 H,accepted,0.97,2,1,35,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 240 FH,accepted,0.97,2,1,35,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 240 H,accepted,0.98,2,1,35,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 018 FH,accepted,0.97,2,1,36,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 018 H,accepted,0.97,2,1,36,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 040 FH,accepted,0.97,2,1,36,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 040 H,accepted,0.97,2,1,36,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 219 FH,accepted,0.97,2,1,36,5,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 219 H,accepted,0.97,2,1,36,6,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 241 FH,accepted,0.97,2,1,36,7,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 241 H,accepted,0.98,2,1,36,8,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 019 FH,accepted,0.97,2,1,37,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 019 H,accepted,0.97,2,1,37,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 041 FH,accepted,0.97,2,1,37,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 041 H,accepted,0.97,2,1,37,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 220 FH,accepted,0.97,2,1,37,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 220 H,accepted,0.97,2,1,37,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 242 FH,accepted,0.97,2,1,37,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 242 H,accepted,0.98,2,1,37,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 020 FH,accepted,0.97,2,1,38,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 020 H,accepted,0.97,2,1,38,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 042 FH,accepted,0.97,2,1,38,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 042 H,accepted,0.97,2,1,38,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 221 FH,accepted,0.97,2,1,38,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 221 H,accepted,0.97,2,1,38,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 243 FH,accepted,0.97,2,1,38,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 243 H,accepted,0.98,2,1,38,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,32 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 718 H,accepted,0.98,2,1,39,2,Use with particular voltage,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,32 A,480 ÷ 500 V,7,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 752 H,accepted,0.98,2,1,39,4,Use with particular voltage,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,32 A,480 ÷ 500 V,7,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 818 H,accepted,0.98,2,1,39,6,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 852 H,accepted,0.99,2,1,39,8,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,32 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 021 H,accepted,0.97,2,1,40,2,Use with particular voltage,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,32 A,480 ÷ 500 V,7,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 043 H,accepted,0.97,2,1,40,4,Use with particular voltage,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,32 A,480 ÷ 500 V,7,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
